id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p, n_iB
152, 281122.512, 0.446, 0.000, 3088.45, 0.0448, 281122.512, 265, 818439, 18446744073709110568, 168291.629, 112632.307, 198.576, 0.599, 0.386, 0
153, 281165.462, 0.408, 0.000, 4049.25, 0.0376, 281165.462, 232, 939425, 18446744073709044176, 176158.473, 104808.413, 198.576, 0.627, 0.415, 0
154, 281111.435, 0.437, 0.000, 3556.57, 0.0417, 281111.435, 242, 860691, 18446744073709086744, 173165.522, 107747.338, 198.576, 0.616, 0.405, 0
155, 281187.766, 0.438, 0.000, 3092.90, 0.0459, 281187.766, 269, 831991, 18446744073709101584, 167324.288, 113664.902, 198.576, 0.595, 0.379, 0
156, 281090.306, 0.447, 0.000, 3117.60, 0.0490, 281090.306, 262, 816810, 18446744073709111408, 168179.992, 112711.738, 198.576, 0.598, 0.374, 0
157, 281151.564, 0.449, 0.000, 3094.88, 0.0438, 281151.564, 266, 823239, 18446744073709107904, 170227.011, 110725.978, 198.576, 0.605, 0.391, 0
158, 281143.231, 0.418, 0.000, 3601.26, 0.0396, 281143.231, 248, 893112, 18446744073709068960, 171489.564, 109455.091, 198.576, 0.610, 0.403, 0
159, 281179.012, 0.437, 0.000, 3198.86, 0.0468, 281179.012, 264, 844500, 18446744073709097056, 170333.889, 110646.547, 198.576, 0.606, 0.378, 0
160, 281172.708, 0.474, 0.000, 2688.09, 0.0459, 281172.708, 279, 749976, 18446744073709146480, 163615.716, 117358.416, 198.576, 0.582, 0.385, 0
161, 281104.311, 0.441, 0.000, 3083.38, 0.0480, 281104.311, 267, 823263, 18446744073709106768, 166883.396, 114022.339, 198.576, 0.594, 0.373, 0
162, 281134.620, 0.441, 0.000, 3162.05, 0.0484, 281134.620, 265, 837944, 18446744073709101152, 170686.649, 110249.395, 198.576, 0.607, 0.374, 0
163, 281222.905, 0.409, 0.000, 3868.93, 0.0373, 281222.905, 238, 920806, 18446744073709052808, 172681.263, 108343.066, 198.576, 0.614, 0.413, 0
164, 281084.773, 0.443, 0.000, 3159.38, 0.0436, 281084.773, 262, 827758, 18446744073709106008, 169167.339, 111718.858, 198.576, 0.602, 0.391, 0
