id, E, epsilon, epsilon_C, tau_B, alpha_B, energy_consumed, n_B, tau_P, tau_D, e_P, e_B, e_R, sim_p, eh_p
13, 281245.329, 0.962, 0.000, 63872.60, 0.0000, 281245.329, 10, 638712, 18446744073709203002, 279058.068, 1985.760, 198.576, 0.992, 0.877
14, 281192.147, 0.991, 0.000, 20191.17, 0.0026, 281192.147, 30, 605717, 18446744073709221830, 273485.643, 7506.173, 198.576, 0.973, 0.902
15, 281227.697, 1.103, 0.000, 6386.96, 0.0041, 281227.697, 80, 510943, 18446744073709276002, 259582.913, 21446.208, 198.576, 0.923, 0.856
16, 281225.420, 1.098, 0.000, 6506.70, 0.0038, 281225.420, 79, 514011, 18446744073709274274, 259855.718, 21168.202, 198.576, 0.924, 0.860
17, 281085.800, 1.099, 0.000, 6673.23, 0.0040, 281085.800, 77, 513821, 18446744073709274394, 260033.819, 20810.765, 198.576, 0.925, 0.860
18, 281168.969, 1.105, 0.000, 6465.39, 0.0038, 281168.969, 79, 510748, 18446744073709276122, 259838.982, 21128.486, 198.576, 0.924, 0.859
19, 281177.580, 1.098, 0.000, 6593.14, 0.0038, 281177.580, 78, 514247, 18446744073709274146, 259966.738, 20969.626, 198.576, 0.925, 0.860
20, 281159.445, 1.097, 0.000, 6508.24, 0.0038, 281159.445, 79, 514133, 18446744073709274198, 259790.912, 21168.202, 198.576, 0.924, 0.859
21, 281196.172, 1.104, 0.000, 6468.14, 0.0040, 281196.172, 79, 510969, 18446744073709275994, 259707.324, 21247.632, 198.576, 0.924, 0.858
22, 281223.569, 1.103, 0.000, 6565.49, 0.0037, 281223.569, 78, 512090, 18446744073709275374, 260133.043, 20890.195, 198.576, 0.925, 0.861
23, 281080.211, 1.102, 0.000, 6567.35, 0.0040, 281080.211, 78, 512239, 18446744073709275278, 259870.539, 21009.341, 198.576, 0.925, 0.859
24, 281142.904, 1.103, 0.000, 6561.33, 0.0039, 281142.904, 78, 511770, 18446744073709275554, 260011.492, 20929.910, 198.576, 0.925, 0.860
25, 281230.232, 1.102, 0.000, 6479.43, 0.0041, 281230.232, 79, 511857, 18446744073709275494, 259821.984, 21207.917, 198.576, 0.924, 0.858
26, 281157.431, 1.101, 0.000, 6575.04, 0.0040, 281157.431, 78, 512839, 18446744073709274942, 259947.759, 21009.341, 198.576, 0.925, 0.859
27, 281083.136, 1.103, 0.000, 6652.66, 0.0039, 281083.136, 77, 512241, 18446744073709275286, 260111.755, 20771.050, 198.576, 0.925, 0.861
28, 281186.388, 1.101, 0.000, 6577.74, 0.0039, 281186.388, 78, 513050, 18446744073709274830, 260056.147, 20929.910, 198.576, 0.925, 0.860
